cod_qc_obj,nombre_obj,dept_obj,sector_obj,cod_qc_vecina,nombre_vecina,dept_vecina,sector_vecina,dist_km,dz_par,mismo_sector,misma_region,r_pp,p_pp,r_temp,altitud_vec,inhomogeneidad_obj
qc00000607,GRANJA KCAYRA,CUSCO,SIERRA SUR ORIENTAL,qc00113122,CAICAY,CUSCO,SIERRA SUR ORIENTAL,20.014,99.0,True,True,,,,3120.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112083,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,0.604,13.0,True,True,,,,3289.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00230931,PUENTE BREÑA,JUNIN,SIERRA CENTRAL ORIENTAL,5.755,100.0,True,True,,,,3202.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00112056,HUAYAO,JUNIN,SIERRA CENTRAL ORIENTAL,11.623,14.0,True,True,,,,3316.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00000635,HUAYAO,JUNIN,SIERRA CENTRAL ORIENTAL,13.385,14.0,True,True,,,,3316.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00155231,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,15.554,71.0,True,True,,,,3373.0,False
qc00000477,SANTA ANA,JUNIN,SIERRA CENTRAL ORIENTAL,qc00111097,INGENIO,JUNIN,SIERRA CENTRAL ORIENTAL,16.573,71.0,True,True,,,,3373.0,False
qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,qc00000686,PARURO,CUSCO,SIERRA SUR ORIENTAL,24.032,162.0,True,True,0.3788,0.0,,3050.0,False
qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,qc00000809,CAY CAY,CUSCO,SIERRA SUR ORIENTAL,35.103,62.0,True,True,0.2082,0.0,,3150.0,False
qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,qc00113037,PARURO,CUSCO,SIERRA SUR ORIENTAL,24.07,162.0,True,True,,,,3050.0,False
qc00000687,ACOMAYO,CUSCO,SIERRA SUR ORIENTAL,qc00113122,CAICAY,CUSCO,SIERRA SUR ORIENTAL,35.114,92.0,True,True,,,,3120.0,False
qc00000647,TUNEL CERO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00113091,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,11.287,72.0,True,True,,,,4547.0,False
qc00000647,TUNEL CERO,HUANCAVELICA,SIERRA CENTRAL ORIENTAL,qc00156130,CHOCLOCOCHA,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,17.733,72.0,False,True,,,,4547.0,False
qc00156123,SANTIAGO DE CHOCORVOS,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,qc00156122,TAMBO,HUANCAVELICA,SIERRA CENTRAL OCCIDENTAL,15.932,344.0,True,True,0.8948,0.0,,3138.0,False
