estacion,cod,cod_qc,cod_ho,lat,lon,altitud,departamento
MOLLEPATA,154106,qc00154106,ho00154106,-8.19167,-77.95417,2708,LA LIBERTAD
HUANGACOCHA,153327,qc00153327,ho00153327,-7.93722,-78.66833,3763,LA LIBERTAD
TALLA (GUADALUPE),325,qc00000325,ho00000325,-7.28005,-79.4191,105,LA LIBERTAD
REQUE,332,qc00000332,ho00000332,-6.88617,-79.83544,13,LAMBAYEQUE
CAYALTI,320,qc00000320,ho00000320,-6.89825,-79.55936,102,LAMBAYEQUE
CUEVA BLANCA,153102,qc00153102,ho00153102,-6.1313,-79.4045,3297,LAMBAYEQUE
JAYANCA (LA VI�A),333,qc00000333,ho00000333,-6.33278,-79.76833,65,LAMBAYEQUE
VIRREY,152107,qc00152107,ho00152107,-5.58083,-79.96989,206,LAMBAYEQUE
LAMBAYEQUE,301,qc00000301,ho00000301,-6.73153,-79.90244,18,LAMBAYEQUE
PUCHACA,153114,qc00153114,ho00153114,-6.35028,-79.46694,336,LAMBAYEQUE
EL ESPINAL,340,qc00000340,ho00000340,-6.81753,-79.20161,450,LAMBAYEQUE
GORGOR,151208,qc00151208,ho00151208,-10.62136,-77.04027,3025,LIMA
CANTA,547,qc00000547,ho00000547,-11.47122,-76.62569,2818,LIMA
ARAHUAY,151204,qc00151204,ho00151204,-11.61667,-76.7,2800,LIMA
�A�A,543,qc00000543,ho00000543,-11.98853,-76.83883,523,LIMA
CHOSICA,151209,qc00151209,ho00151209,-11.92986,-76.68967,867,LIMA
HUARANGAL,618,qc00000618,ho00000618,-11.78333,-77.1,284,LIMA
